Freq[Hz],Re,Im
464158883.361278,-6.19330132591696e-09,8.90267589364045e-11
613590727.341317,-6.2050088041251e-09,7.75280458011369e-11
811130830.789686,-6.2151913716198e-09,6.75034014281394e-11
1072267222.01033,-6.22404764954241e-09,5.87665865556768e-11
1417474162.92681,-6.2317503884325e-09,5.11542170820152e-11
1873817422.86039,-6.23844983789958e-09,4.45231287643959e-11
2477076355.99172,-6.24427667739166e-09,3.87480019749105e-11
3274549162.87773,-6.24934456522831e-09,3.37192329013415e-11
4328761281.08307,-6.25375235561962e-09,2.93410344197264e-11
5722367659.35022,-6.25758602691621e-09,2.55297483176129e-11
7564633275.5463,-6.26092035870278e-09,2.22123501097404e-11
10000000000,-6.26382039044855e-09,1.93251279952634e-11
